work_year,experience_level,employment_type,job_title,salary,salary_in_usd
2023,SE,FT,Data Scientist,297300,297300
2023,SE,FT,Data Scientist,198200,198200
2023,SE,FT,Data Scientist,200000,200000
2023,SE,FT,Data Scientist,170000,170000
2023,SE,FT,Data Scientist,317070,317070
2023,SE,FT,Data Scientist,170730,170730
2023,SE,FT,Data Scientist,225000,225000
2023,SE,FT,Data Scientist,175000,175000
2023,SE,FT,Data Scientist,275300,275300
2023,SE,FT,Data Scientist,183000,183000
2023,SE,FT,Data Scientist,185900,185900
2023,SE,FT,Data Scientist,129300,129300
2023,SE,FT,Data Scientist,173000,173000
2023,SE,FT,Data Scientist,132000,132000
2023,SE,FT,Data Scientist,275300,275300
2023,SE,FT,Data Scientist,183500,183500
2023,EX,FT,Data Scientist,145000,145000
2023,EX,FT,Data Scientist,100000,100000
2023,MI,FT,Data Scientist,90000,96578
2023,MI,FT,Data Scientist,75000,80481
2023,SE,FT,Data Scientist,275300,275300
2023,SE,FT,Data Scientist,183500,183500
2023,MI,FT,Data Scientist,65000,78990
2023,MI,FT,Data Scientist,42000,51039
2023,EN,FT,Data Scientist,190000,190000
2023,EN,FT,Data Scientist,120000,120000
2023,MI,FT,Data Scientist,70000,85066
2023,MI,FT,Data Scientist,42000,51039
2023,MI,FT,Data Scientist,90000,109371
2023,MI,FT,Data Scientist,60000,72914
2023,EN,FT,Data Scientist,112000,121093
2022,MI,FT,Data Scientist,70000,73546
2023,MI,FT,Data Scientist,56000,60093
2023,SE,FT,Data Scientist,201036,201036
2023,SE,FT,Data Scientist,134024,134024
2023,SE,FT,Data Scientist,172000,172000
2023,SE,FT,Data Scientist,115000,115000
2023,SE,FT,Data Scientist,237000,237000
2023,SE,FT,Data Scientist,145000,145000
2023,SE,FT,Data Scientist,258000,258000
2023,SE,FT,Data Scientist,190000,190000
2023,SE,FT,Data Scientist,239748,239748
2023,SE,FT,Data Scientist,159832,159832
2023,SE,FT,Data Scientist,186300,186300
2023,SE,FT,Data Scientist,102500,102500
2023,SE,FT,Data Scientist,190000,190000
2023,SE,FT,Data Scientist,126000,126000
2023,SE,FT,Data Scientist,175000,175000
2023,SE,FT,Data Scientist,120000,120000
2023,MI,FT,Data Scientist,145000,145000
2023,MI,FT,Data Scientist,100000,100000
2023,SE,FT,Data Scientist,210000,210000
2023,SE,FT,Data Scientist,160000,160000
2023,MI,FT,Data Scientist,145000,145000
2023,MI,FT,Data Scientist,100000,100000
2023,EX,FT,Data Scientist,200000,200000
2023,EX,FT,Data Scientist,145000,145000
2023,SE,FT,Data Scientist,205000,205000
2023,SE,FT,Data Scientist,140000,140000
2023,SE,FT,Data Scientist,297300,297300
2023,SE,FT,Data Scientist,198200,198200
2023,MI,FT,Data Scientist,1400000,17022
2023,SE,FT,Data Scientist,105000,105000
2023,SE,FT,Data Scientist,70000,70000
2023,MI,FT,Data Scientist,55000,59020
2023,MI,FT,Data Scientist,45000,48289
2023,SE,FT,Data Scientist,239748,239748
2023,SE,FT,Data Scientist,159832,159832
2023,MI,FT,Data Scientist,128750,128750
2023,MI,FT,Data Scientist,106250,106250
2023,SE,FT,Data Scientist,210550,210550
2023,SE,FT,Data Scientist,153300,153300
2023,MI,FT,Data Scientist,200000,200000
2023,MI,FT,Data Scientist,150000,150000
2023,SE,FT,Data Scientist,175000,175000
2023,SE,FT,Data Scientist,148750,148750
2023,SE,FT,Data Scientist,186300,186300
2023,SE,FT,Data Scientist,123900,123900
2023,MI,FT,Data Scientist,60000,64385
2023,SE,FT,Data Scientist,149076,149076
2023,SE,FT,Data Scientist,82365,82365
2023,MI,FT,Data Scientist,150000,150000
2023,MI,FT,Data Scientist,97750,97750
2023,SE,FT,Data Scientist,201000,201000
2023,SE,FT,Data Scientist,122000,122000
2023,MI,FT,Data Scientist,116990,116990
2023,MI,FT,Data Scientist,82920,82920
2023,SE,FT,Data Scientist,185900,185900
2023,SE,FT,Data Scientist,129300,129300
2023,SE,FT,Data Scientist,201000,201000
2023,SE,FT,Data Scientist,122000,122000
2023,SE,FT,Data Scientist,190000,190000
2023,SE,FT,Data Scientist,136000,136000
2023,SE,FT,Data Scientist,275300,275300
2023,SE,FT,Data Scientist,183000,183000
2023,SE,FT,Data Scientist,175000,175000
2023,SE,FT,Data Scientist,160000,160000
2023,SE,FT,Data Scientist,225000,225000
2023,SE,FT,Data Scientist,156400,156400
2023,SE,FT,Data Scientist,260000,260000
2023,SE,FT,Data Scientist,186000,186000
2023,SE,FT,Data Scientist,45000,48289
2023,SE,FT,Data Scientist,36000,38631
2023,SE,FT,Data Scientist,150000,150000
2023,SE,FT,Data Scientist,120000,120000
2023,MI,FT,Data Scientist,40000,40000
2023,SE,FT,Data Scientist,136000,136000
2023,SE,FT,Data Scientist,104000,104000
2023,SE,FT,Data Scientist,185900,185900
2023,SE,FT,Data Scientist,129300,129300
2023,SE,FT,Data Scientist,149076,149076
2023,SE,FT,Data Scientist,82365,82365
2022,EN,FT,Data Scientist,168000,168000
2023,SE,FT,Data Scientist,147100,147100
2023,SE,FT,Data Scientist,90700,90700
2023,SE,FT,Data Scientist,300240,300240
2023,SE,FT,Data Scientist,200160,200160
2023,SE,FT,Data Scientist,300240,300240
2023,SE,FT,Data Scientist,200160,200160
2023,SE,FT,Data Scientist,370000,370000
2023,SE,FT,Data Scientist,245000,245000
2023,SE,FT,Data Scientist,126500,126500
2023,SE,FT,Data Scientist,78000,78000
2023,SE,FT,Data Scientist,155000,155000
2023,SE,FT,Data Scientist,139500,139500
2023,EN,FT,Data Scientist,101400,19522
2023,SE,FT,Data Scientist,225000,225000
2023,SE,FT,Data Scientist,156400,156400
2023,SE,FT,Data Scientist,185900,185900
2023,SE,FT,Data Scientist,129300,129300
2023,SE,FT,Data Scientist,215050,215050
2023,SE,FT,Data Scientist,156400,156400
2023,SE,FT,Data Scientist,209300,209300
2023,SE,FT,Data Scientist,182200,182200
2022,EN,FT,Data Scientist,85000,85000
2023,EN,FT,Data Scientist,800000,9727
2023,MI,FT,Data Scientist,170000,170000
2023,MI,FT,Data Scientist,120000,120000
2023,SE,FT,Data Scientist,145000,145000
2023,SE,FT,Data Scientist,135000,135000
2023,SE,FT,Data Scientist,170000,170000
2023,SE,FT,Data Scientist,90000,90000
2023,SE,FT,Data Scientist,149076,149076
2023,SE,FT,Data Scientist,82365,82365
2023,SE,FT,Data Scientist,175000,175000
2023,SE,FT,Data Scientist,148750,148750
2023,SE,FT,Data Scientist,235000,235000
2023,SE,FT,Data Scientist,185000,185000
2023,SE,FT,Data Scientist,216100,216100
2023,SE,FT,Data Scientist,140800,140800
2023,EN,FT,Data Scientist,110000,110000
2023,MI,FT,Data Scientist,151410,151410
2023,MI,FT,Data Scientist,115360,115360
2023,EN,FT,Data Scientist,1050000,12767
2023,SE,FT,Data Scientist,250000,250000
2023,SE,FT,Data Scientist,162500,162500
2023,SE,FT,Data Scientist,185000,185000
2023,SE,FT,Data Scientist,120250,120250
2022,EN,FT,Data Scientist,180000,180000
2023,SE,FT,Data Scientist,225000,225000
2023,SE,FT,Data Scientist,156400,156400
2023,SE,FT,Data Scientist,225000,225000
2023,SE,FT,Data Scientist,156400,156400
2023,SE,FT,Data Scientist,165000,165000
2023,SE,FT,Data Scientist,144000,144000
2023,SE,FT,Data Scientist,105000,105000
2023,SE,FT,Data Scientist,70000,70000
2023,SE,FT,Data Scientist,183000,183000
2023,SE,FT,Data Scientist,134000,134000
2023,SE,FT,Data Scientist,225000,225000
2023,SE,FT,Data Scientist,156400,156400
2023,SE,FT,Data Scientist,228000,228000
2023,SE,FT,Data Scientist,152000,152000
2023,SE,FT,Data Scientist,209450,209450
2023,SE,FT,Data Scientist,158677,158677
2022,MI,FT,Data Scientist,155000,155000
2023,SE,FT,Data Scientist,59000,63312
2023,SE,FT,Data Scientist,237000,237000
2023,SE,FT,Data Scientist,145000,145000
2023,SE,FT,Data Scientist,240000,240000
2023,SE,FT,Data Scientist,139000,139000
2023,SE,FT,Data Scientist,285800,285800
2023,SE,FT,Data Scientist,154600,154600
2023,EN,FT,Data Scientist,124234,124234
2023,EN,FT,Data Scientist,74540,74540
2023,SE,FT,Data Scientist,275300,275300
2023,SE,FT,Data Scientist,183500,183500
2023,SE,FT,Data Scientist,275300,275300
2023,SE,FT,Data Scientist,183500,183500
2023,SE,FT,Data Scientist,150000,150000
2023,SE,FT,Data Scientist,120000,120000
2023,EN,FT,Data Scientist,1060000,12888
2023,SE,FT,Data Scientist,136000,136000
2023,SE,FT,Data Scientist,104000,104000
2023,SE,FT,Data Scientist,110000,110000
2023,SE,FT,Data Scientist,84000,84000
2023,SE,FT,Data Scientist,190000,190000
2023,SE,FT,Data Scientist,165000,165000
2023,SE,FT,Data Scientist,225000,225000
2023,SE,FT,Data Scientist,156400,156400
2023,SE,FT,Data Scientist,257000,257000
2023,SE,FT,Data Scientist,134000,134000
2023,SE,FT,Data Scientist,72000,77262
2023,SE,FT,Data Scientist,36000,38631
2023,MI,FT,Data Scientist,50000,53654
2023,SE,FT,Data Scientist,237000,237000
2023,SE,FT,Data Scientist,145000,145000
2023,SE,FT,Data Scientist,130000,130000
2023,SE,FT,Data Scientist,90000,90000
2023,MI,FT,Data Scientist,183310,183310
2023,MI,FT,Data Scientist,183310,183310
2023,SE,FT,Data Scientist,210000,210000
2023,SE,FT,Data Scientist,185000,185000
2023,SE,FT,Data Scientist,220000,220000
2023,SE,FT,Data Scientist,146000,146000
2023,MI,FT,Data Scientist,840000,24740
2023,SE,FT,Data Scientist,182000,182000
2023,SE,FT,Data Scientist,140000,140000
2023,EX,FT,Data Scientist,300000,300000
2023,EX,FT,Data Scientist,200000,200000
2022,MI,FT,Data Scientist,110000,110000
2023,SE,FT,Data Scientist,136000,136000
2023,SE,FT,Data Scientist,104000,104000
2023,SE,FT,Data Scientist,168000,168000
2023,SE,FT,Data Scientist,130000,130000
2023,SE,FT,Data Scientist,153400,153400
2023,SE,FT,Data Scientist,122700,122700
2023,SE,FT,Data Scientist,185000,185000
2023,SE,FT,Data Scientist,160000,160000
2023,SE,FT,Data Scientist,205000,205000
2023,SE,FT,Data Scientist,185000,185000
2023,EN,FT,Data Scientist,50000,50000
2023,SE,FT,Data Scientist,223800,223800
2023,SE,FT,Data Scientist,172100,172100
2023,SE,FT,Data Scientist,180000,180000
2023,SE,FT,Data Scientist,150000,150000
2023,SE,FT,Data Scientist,168400,168400
2023,SE,FT,Data Scientist,105200,105200
2023,SE,FT,Data Scientist,297300,297300
2023,SE,FT,Data Scientist,198200,198200
2023,SE,FT,Data Scientist,110000,110000
2023,SE,FT,Data Scientist,84000,84000
2023,SE,FT,Data Scientist,185900,185900
2023,SE,FT,Data Scientist,129300,129300
2023,MI,FT,Data Scientist,187500,187500
2023,MI,FT,Data Scientist,165000,165000
2023,SE,FT,Data Scientist,135000,135000
2023,SE,FT,Data Scientist,115000,115000
2023,SE,FT,Data Scientist,170000,170000
2023,SE,FT,Data Scientist,140000,140000
2021,SE,FT,Data Scientist,4000000,54094
2022,EN,FT,Data Scientist,100000,100000
2023,SE,FT,Data Scientist,272550,272550
2023,SE,FT,Data Scientist,198200,198200
2023,SE,FT,Data Scientist,182000,182000
2023,SE,FT,Data Scientist,140000,140000
2023,MI,FT,Data Scientist,120000,120000
2023,MI,FT,Data Scientist,105000,105000
2023,SE,FT,Data Scientist,143100,143100
2023,SE,FT,Data Scientist,113000,113000
2023,SE,FT,Data Scientist,140000,140000
2023,SE,FT,Data Scientist,120000,120000
2023,SE,FT,Data Scientist,180560,180560
2023,SE,FT,Data Scientist,115440,115440
2023,SE,FT,Data Scientist,140000,140000
2023,SE,FT,Data Scientist,120000,120000
2023,SE,FT,Data Scientist,120000,120000
2023,SE,FT,Data Scientist,110000,110000
2022,EN,FT,Data Scientist,130000,130000
2022,MI,FT,Data Scientist,1100000,13989
2023,MI,FT,Data Scientist,130000,130000
2023,MI,FT,Data Scientist,90000,90000
2022,SE,FT,Data Scientist,150000,150000
2022,SE,FT,Data Scientist,140000,140000
2022,MI,FT,Data Scientist,150000,150000
2022,MI,FT,Data Scientist,127500,127500
2022,SE,FT,Data Scientist,126500,126500
2022,SE,FT,Data Scientist,51000,51000
2022,SE,FT,Data Scientist,272550,272550
2022,SE,FT,Data Scientist,198200,198200
2022,MI,FT,Data Scientist,90000,94560
2022,MI,FT,Data Scientist,50000,52533
2022,SE,FT,Data Scientist,220000,220000
2022,SE,FT,Data Scientist,146000,146000
2022,SE,FT,Data Scientist,140000,140000
2022,SE,FT,Data Scientist,120000,120000
2022,MI,FT,Data Scientist,150000,150000
2022,MI,FT,Data Scientist,110000,110000
2022,SE,FT,Data Scientist,190000,190000
2022,SE,FT,Data Scientist,155000,155000
2022,MI,FT,Data Scientist,75000,92350
2022,MI,FT,Data Scientist,55000,67723
2022,MI,FT,Data Scientist,145000,145000
2022,MI,FT,Data Scientist,100000,100000
2022,MI,FT,Data Scientist,2500000,31795
2022,SE,FT,Data Scientist,190000,190000
2022,SE,FT,Data Scientist,150000,150000
2022,SE,FT,Data Scientist,45000,47280
2022,SE,FT,Data Scientist,36000,37824
2022,SE,FT,Data Scientist,175000,175000
2022,SE,FT,Data Scientist,140000,140000
2022,SE,FT,Data Scientist,249500,249500
2022,SE,FT,Data Scientist,149850,149850
2022,SE,FT,Data Scientist,210000,210000
2022,SE,FT,Data Scientist,150000,150000
2022,SE,FT,Data Scientist,182750,182750
2022,SE,FT,Data Scientist,161500,161500
2022,SE,FT,Data Scientist,136000,136000
2022,SE,FT,Data Scientist,104000,104000
2022,EX,FT,Data Scientist,159000,159000
2022,EX,FT,Data Scientist,130000,130000
2022,EN,FT,Data Scientist,124234,124234
2022,EN,FT,Data Scientist,74540,74540
2022,SE,FT,Data Scientist,45000,47280
2022,SE,FT,Data Scientist,36000,37824
2022,SE,FT,Data Scientist,128000,128000
2022,SE,FT,Data Scientist,81500,81500
2022,SE,FT,Data Scientist,173000,173000
2022,SE,FT,Data Scientist,110000,110000
2022,SE,FT,Data Scientist,165000,165000
2022,SE,FT,Data Scientist,125000,125000
2022,MI,FT,Data Scientist,180000,180000
2022,MI,FT,Data Scientist,120000,120000
2022,MI,FT,Data Scientist,60000,63040
2022,MI,FT,Data Scientist,50000,52533
2022,SE,FT,Data Scientist,130000,130000
2022,SE,FT,Data Scientist,95000,95000
2022,SE,FT,Data Scientist,203500,203500
2022,SE,FT,Data Scientist,152000,152000
2022,MI,FT,Data Scientist,120000,120000
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,SE,FT,Data Scientist,45000,47280
2022,SE,FT,Data Scientist,36000,37824
2022,SE,FT,Data Scientist,140000,140000
2022,SE,FT,Data Scientist,120000,120000
2022,SE,FT,Data Scientist,110000,110000
2022,SE,FT,Data Scientist,70000,70000
2022,MI,FT,Data Scientist,61000,64090
2022,MI,FT,Data Scientist,58000,60938
2022,MI,FT,Data Scientist,130000,130000
2022,MI,FT,Data Scientist,90000,90000
2022,SE,FT,Data Scientist,140000,140000
2022,SE,FT,Data Scientist,120000,120000
2022,MI,FT,Data Scientist,180000,180000
2022,MI,FT,Data Scientist,120000,120000
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,SE,FT,Data Scientist,175000,175000
2022,SE,FT,Data Scientist,145000,145000
2022,SE,FT,Data Scientist,45000,47280
2022,SE,FT,Data Scientist,36000,37824
2022,SE,FT,Data Scientist,198800,198800
2022,SE,FT,Data Scientist,122600,122600
2022,SE,FT,Data Scientist,148000,148000
2022,SE,FT,Data Scientist,107000,107000
2022,SE,FT,Data Scientist,168000,168000
2022,SE,FT,Data Scientist,130000,130000
2022,SE,FT,Data Scientist,136000,136000
2022,SE,FT,Data Scientist,104000,104000
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,EN,FT,Data Scientist,80000,80000
2022,SE,FT,Data Scientist,208000,208000
2022,SE,FT,Data Scientist,127000,127000
2022,SE,FT,Data Scientist,45000,47280
2022,SE,FT,Data Scientist,36000,37824
2022,SE,FT,Data Scientist,205000,205000
2022,SE,FT,Data Scientist,185000,185000
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,EN,FT,Data Scientist,6600000,17684
2022,SE,FT,Data Scientist,225000,225000
2022,SE,FT,Data Scientist,156400,156400
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,SE,FT,Data Scientist,140700,140700
2022,SE,FT,Data Scientist,93800,93800
2022,SE,FT,Data Scientist,350000,350000
2022,SE,FT,Data Scientist,135000,135000
2022,SE,FT,Data Scientist,247500,247500
2022,SE,FT,Data Scientist,172200,172200
2022,SE,FT,Data Scientist,177500,177500
2022,SE,FT,Data Scientist,134000,134000
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,SE,FT,Data Scientist,243900,243900
2022,SE,FT,Data Scientist,156600,156600
2022,MI,FT,Data Scientist,120000,120000
2022,MI,FT,Data Scientist,100000,100000
2022,MI,FT,Data Scientist,85000,85000
2022,MI,FT,Data Scientist,78000,78000
2022,SE,FT,Data Scientist,136000,136000
2022,SE,FT,Data Scientist,104000,104000
2022,SE,FT,Data Scientist,45000,47280
2022,SE,FT,Data Scientist,36000,37824
2022,SE,FT,Data Scientist,245000,245000
2022,SE,FT,Data Scientist,180000,180000
2022,SE,FT,Data Scientist,198440,198440
2022,SE,FT,Data Scientist,144000,144000
2022,SE,FT,Data Scientist,198440,198440
2022,SE,FT,Data Scientist,144000,144000
2022,MI,FT,Data Scientist,47000,57872
2022,EN,FT,Data Scientist,38000,39925
2022,SE,FT,Data Scientist,159699,159699
2022,SE,FT,Data Scientist,138938,138938
2022,SE,FT,Data Scientist,180000,180000
2022,SE,FT,Data Scientist,140000,140000
2022,SE,FT,Data Scientist,225000,225000
2022,SE,FT,Data Scientist,156400,156400
2022,EN,FT,Data Scientist,180000,180000
2022,EN,FT,Data Scientist,100000,100000
2022,SE,FT,Data Scientist,175000,175000
2022,SE,FT,Data Scientist,122500,122500
2022,SE,FT,Data Scientist,202800,202800
2022,SE,FT,Data Scientist,104300,104300
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,MI,FT,Data Scientist,30000,30000
2022,MI,FT,Data Scientist,84000,84000
2022,MI,FT,Data Scientist,54000,54000
2022,EN,FT,Data Scientist,80000,80000
2022,EN,FT,Data Scientist,96000,73742
2022,EN,FT,Data Scientist,27000,33246
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,SE,FT,Data Scientist,225000,225000
2022,SE,FT,Data Scientist,156400,156400
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,SE,FT,Data Scientist,155000,155000
2022,SE,FT,Data Scientist,38000,38000
2022,SE,FT,Data Scientist,155000,155000
2022,SE,FT,Data Scientist,38000,38000
2022,SE,FT,Data Scientist,153600,153600
2022,SE,FT,Data Scientist,106800,106800
2022,SE,FT,Data Scientist,185000,185000
2022,SE,FT,Data Scientist,50000,50000
2022,SE,FT,Data Scientist,155000,155000
2022,SE,FT,Data Scientist,38000,38000
2022,SE,FT,Data Scientist,168000,168000
2022,SE,FT,Data Scientist,130000,130000
2022,SE,FT,Data Scientist,123400,123400
2022,SE,FT,Data Scientist,88100,88100
2022,SE,FT,Data Scientist,120000,120000
2022,SE,FT,Data Scientist,55000,55000
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,SE,FT,Data Scientist,185900,185900
2022,SE,FT,Data Scientist,129300,129300
2022,SE,FT,Data Scientist,225000,225000
2022,SE,FT,Data Scientist,156400,156400
2022,SE,FT,Data Scientist,200000,200000
2022,SE,FT,Data Scientist,175000,175000
2022,SE,FT,Data Scientist,185000,185000
2022,SE,FT,Data Scientist,50000,50000
2022,SE,FT,Data Scientist,45000,47280
2022,SE,FT,Data Scientist,36000,37824
2022,MI,FT,Data Scientist,144200,144200
2022,MI,FT,Data Scientist,115360,115360
2022,MI,FT,Data Scientist,120000,83171
2022,MI,FT,Data Scientist,108000,108000
2022,SE,FT,Data Scientist,198440,198440
2022,SE,FT,Data Scientist,144000,144000
2022,MI,FT,Data Scientist,72000,75648
2022,SE,FT,Data Scientist,198440,198440
2022,SE,FT,Data Scientist,144000,144000
2022,MI,FT,Data Scientist,10000,10000
2022,SE,FT,Data Scientist,215000,215000
2022,SE,FT,Data Scientist,159000,159000
2022,SE,FT,Data Scientist,236900,236900
2022,SE,FT,Data Scientist,159200,159200
2022,SE,FT,Data Scientist,148000,148000
2022,SE,FT,Data Scientist,128000,128000
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
2022,SE,FT,Data Scientist,218000,218000
2022,SE,FT,Data Scientist,145300,145300
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
2022,SE,FT,Data Scientist,207000,207000
2022,SE,FT,Data Scientist,153000,153000
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
2022,SE,FT,Data Scientist,207000,207000
2022,SE,FT,Data Scientist,153000,153000
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
2022,MI,FT,Data Scientist,83000,102200
2022,EN,FT,Data Scientist,1800000,22892
2022,SE,FT,Data Scientist,180000,180000
2022,SE,FT,Data Scientist,165000,165000
2022,SE,FT,Data Scientist,179400,179400
2022,SE,FT,Data Scientist,154000,154000
2022,EN,FT,Data Scientist,93000,93000
2022,EN,FT,Data Scientist,73000,73000
2022,SE,FT,Data Scientist,136994,136994
2022,SE,FT,Data Scientist,101570,101570
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
2022,SE,FT,Data Scientist,172000,172000
2022,SE,FT,Data Scientist,140000,140000
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
2022,MI,FT,Data Scientist,70000,73546
2022,EN,FT,Data Scientist,50000,50000
2022,SE,FT,Data Scientist,151800,151800
2022,SE,FT,Data Scientist,130240,130240
2022,SE,FT,Data Scientist,179400,179400
2022,SE,FT,Data Scientist,154000,154000
2022,SE,FT,Data Scientist,191475,191475
2022,SE,FT,Data Scientist,141525,141525
